第6976章扭转劣势，难度很大: https://www.xbiquge.bz/book/30892/40729834.html
第6975章积极防御才是最为重要的手段: https://www.xbiquge.bz/book/30892/40721094.html
第6974章晋军，不是罗马人能够比拟的: https://www.xbiquge.bz/book/30892/40720804.html
第6973章面对晋军的压力: https://www.xbiquge.bz/book/30892/40720505.html
第6972章晋军进攻，乃是必然: https://www.xbiquge.bz/book/30892/40720220.html
第6971章晋军，从不惧对手: https://www.xbiquge.bz/book/30892/40719845.html
第6970章怒吼声中，气势攀升: https://www.xbiquge.bz/book/30892/40719407.html
第6969章军容雄壮: https://www.xbiquge.bz/book/30892/40718943.html
第6968章大战来临的气氛: https://www.xbiquge.bz/book/30892/40717583.html
第6967章安东关，火炮三门，守军万人: https://www.xbiquge.bz/book/30892/40716452.html
第6966章晋军行动，寄予厚望: https://www.xbiquge.bz/book/30892/40716102.html
第6965章安东关不容有失: https://www.xbiquge.bz/book/30892/40715762.html
第77章 出兵: https://www.xbiquge.bz/book/30892/19013996.html
第78章 可怕的骑兵: https://www.xbiquge.bz/book/30892/19013997.html
第79章 破匈奴（一）: https://www.xbiquge.bz/book/30892/19013998.html
第80章 破匈奴（二）: https://www.xbiquge.bz/book/30892/19013999.html
第81章 破匈奴（三）: https://www.xbiquge.bz/book/30892/19014000.html
第82章 破匈奴（四）: https://www.xbiquge.bz/book/30892/19014001.html
第83章 匈奴求和: https://www.xbiquge.bz/book/30892/19014002.html
第84章 平匈奴: https://www.xbiquge.bz/book/30892/19014003.html
第85章 斩刘豹: https://www.xbiquge.bz/book/30892/19014004.html
第86章 暗中联合: https://www.xbiquge.bz/book/30892/19014005.html
第87章 发兵白波谷: https://www.xbiquge.bz/book/30892/19014006.html
第88章 试探: https://www.xbiquge.bz/book/30892/19014007.html
第89章 苦肉计（上）: https://www.xbiquge.bz/book/30892/19014008.html
第90章 苦肉计（下）: https://www.xbiquge.bz/book/30892/19014009.html
第91章 破敌（上）: https://www.xbiquge.bz/book/30892/19014010.html
第92章 破敌（下）: https://www.xbiquge.bz/book/30892/19014011.html
