关于脉轮和符文之语的设定: https://www.xbiquge.bz/book/55020/39057770.html
雷鸣领和克里夫公国: https://www.xbiquge.bz/book/55020/39057769.html
暴风王国示意: https://www.xbiquge.bz/book/55020/39057768.html
恩法斯大陆示意: https://www.xbiquge.bz/book/55020/39057767.html
完本感言: https://www.xbiquge.bz/book/55020/39057766.html
第一章 冰塬之旅: https://www.xbiquge.bz/book/55020/39056249.html
第二章 宝石之城: https://www.xbiquge.bz/book/55020/39056250.html
第三章 绑架: https://www.xbiquge.bz/book/55020/39056251.html
第四章 裹挟: https://www.xbiquge.bz/book/55020/39056252.html
第五章 黑暗精灵: https://www.xbiquge.bz/book/55020/39056253.html
第六章 逃之夭夭: https://www.xbiquge.bz/book/55020/39056254.html
第七章 北地极光: https://www.xbiquge.bz/book/55020/39056255.html
第八章 受伤的牛头: https://www.xbiquge.bz/book/55020/39056256.html
第九章 氏族的最后希望: https://www.xbiquge.bz/book/55020/39056257.html
第十章 拉扎什龙骑兵: https://www.xbiquge.bz/book/55020/39056258.html
第十一章 招揽: https://www.xbiquge.bz/book/55020/39056259.html
第十二章 白银之力: https://www.xbiquge.bz/book/55020/39056260.html
第十三章 双重脉轮: https://www.xbiquge.bz/book/55020/39056261.html
第十四章 月魂的反击: https://www.xbiquge.bz/book/55020/39056262.html
第十五章 要素的对决: https://www.xbiquge.bz/book/55020/39056263.html
第十六章 遗迹讯息: https://www.xbiquge.bz/book/55020/39056264.html
第十七章 沉睡的少女: https://www.xbiquge.bz/book/55020/39056265.html
第十八章 金羊山谷: https://www.xbiquge.bz/book/55020/39056266.html
第十九章 黄金羊毛: https://www.xbiquge.bz/book/55020/39056267.html
第二十章 金羊谷道: https://www.xbiquge.bz/book/55020/39056268.html
第二十一章 羊头怪和多头蛇: https://www.xbiquge.bz/book/55020/39056269.html
第二十二章 斩杀: https://www.xbiquge.bz/book/55020/39056270.html
第二十三章 远古法阵: https://www.xbiquge.bz/book/55020/39056271.html
第二十四章 车轮战: https://www.xbiquge.bz/book/55020/39056272.html
第二十五章 不屈的精神: https://www.xbiquge.bz/book/55020/39056273.html
第二十六章 考验的真相: https://www.xbiquge.bz/book/55020/39056274.html
第二十七章 金羊宝箱: https://www.xbiquge.bz/book/55020/39056275.html
第二十八章 龙蛋: https://www.xbiquge.bz/book/55020/39056276.html
