番外：陆鸣斩轮回身: https://www.xbiquge.bz/book/53234/40728092.html
番外篇，下: https://www.xbiquge.bz/book/53234/40390285.html
番外篇，中: https://www.xbiquge.bz/book/53234/40390243.html
番外篇，上: https://www.xbiquge.bz/book/53234/40390242.html
番外.叶青篇（免费）: https://www.xbiquge.bz/book/53234/40390241.html
完结感言: https://www.xbiquge.bz/book/53234/40390240.html
第79章 拆了星月楼: https://www.xbiquge.bz/book/53234/36792294.html
第80章 何惧一战: https://www.xbiquge.bz/book/53234/36792296.html
第81章 八连胜的强大: https://www.xbiquge.bz/book/53234/36792297.html
第82章 执着一战: https://www.xbiquge.bz/book/53234/36792298.html
第83章 没资格: https://www.xbiquge.bz/book/53234/36792299.html
第84章 疗伤: https://www.xbiquge.bz/book/53234/36792300.html
第85章 以瀑布练枪: https://www.xbiquge.bz/book/53234/36792301.html
第86章 岭南火域: https://www.xbiquge.bz/book/53234/36792302.html
第87章 十方剑派弟子: https://www.xbiquge.bz/book/53234/36792303.html
第88章 枪法显威: https://www.xbiquge.bz/book/53234/36792304.html
第89章 死火山: https://www.xbiquge.bz/book/53234/36792305.html
第90章 弱者如蝼蚁: https://www.xbiquge.bz/book/53234/36792306.html
第91章 摧枯拉朽: https://www.xbiquge.bz/book/53234/36792307.html
第92章 击杀郑乾: https://www.xbiquge.bz/book/53234/36792308.html
第93章 清点收获: https://www.xbiquge.bz/book/53234/36792309.html
第94章 肉身九品: https://www.xbiquge.bz/book/53234/36792310.html
第95章 凝炼肉身: https://www.xbiquge.bz/book/53234/36792311.html
第96章 天地之势: https://www.xbiquge.bz/book/53234/36792312.html
第97章 一年前的新人王: https://www.xbiquge.bz/book/53234/36792313.html
第98章 新的青铜榜天才: https://www.xbiquge.bz/book/53234/36792314.html
第99章 我的对决，才刚刚开始: https://www.xbiquge.bz/book/53234/36792315.html
第100章 一剑搞定: https://www.xbiquge.bz/book/53234/36792316.html
第101章 一路横扫: https://www.xbiquge.bz/book/53234/36792317.html
第102章 空手战何铁: https://www.xbiquge.bz/book/53234/36792318.html
第103章 十连胜: https://www.xbiquge.bz/book/53234/36792319.html
第104章 给我滚下来: https://www.xbiquge.bz/book/53234/36792320.html
第105章 大战姚天宇: https://www.xbiquge.bz/book/53234/36792321.html
第106章 玄级武技，我也会: https://www.xbiquge.bz/book/53234/36792322.html
第107章 你，没有这个资格: https://www.xbiquge.bz/book/53234/36792323.html
第108章 四院大比: https://www.xbiquge.bz/book/53234/36792324.html
第109章 朱雀院院长: https://www.xbiquge.bz/book/53234/36792325.html
第110章 大比开始: https://www.xbiquge.bz/book/53234/36792326.html
第111章 嚣张的端木家族: https://www.xbiquge.bz/book/53234/36792327.html
第112章 初战: https://www.xbiquge.bz/book/53234/36792328.html
第113章 我认输: https://www.xbiquge.bz/book/53234/36792329.html
第114章 虐菜: https://www.xbiquge.bz/book/53234/36792330.html
第115章 叫板青铜第二: https://www.xbiquge.bz/book/53234/36792331.html
第116章 新人王，新人王: https://www.xbiquge.bz/book/53234/36792332.html
第117章 烈焰牢笼: https://www.xbiquge.bz/book/53234/36792333.html
第118章 奖励？: https://www.xbiquge.bz/book/53234/36792334.html
第119章 秘术，兽狂诀: https://www.xbiquge.bz/book/53234/36792335.html
第120章 进入前十: https://www.xbiquge.bz/book/53234/36792336.html
第121章 连场大战: https://www.xbiquge.bz/book/53234/36792337.html
第122章 遥遥领先的两位天才: https://www.xbiquge.bz/book/53234/36792338.html
第123章 止不住的连胜: https://www.xbiquge.bz/book/53234/36792339.html
第124章 巅峰对决: https://www.xbiquge.bz/book/53234/36792340.html
第125章 金之势: https://www.xbiquge.bz/book/53234/36792341.html
第126章 突破，突破: https://www.xbiquge.bz/book/53234/36792342.html
第127章 你不配做我的对手: https://www.xbiquge.bz/book/53234/36792343.html
第128章 这才是巅峰对决: https://www.xbiquge.bz/book/53234/36792344.html
第129章 四院第一: https://www.xbiquge.bz/book/53234/36792345.html
第130章 丰厚的奖励: https://www.xbiquge.bz/book/53234/36792346.html
第131章 修炼凌空步: https://www.xbiquge.bz/book/53234/36792347.html
第132章 三级妖兽，妖丹: https://www.xbiquge.bz/book/53234/36792349.html
第133章 再见秋月: https://www.xbiquge.bz/book/53234/36792350.html
第134章 寒冰血脉: https://www.xbiquge.bz/book/53234/36792351.html
第135章 张牧云定亲: https://www.xbiquge.bz/book/53234/36792352.html
第136章 麒麟院挑衅: https://www.xbiquge.bz/book/53234/36792353.html
第137章 强大的特殊血脉: https://www.xbiquge.bz/book/53234/36792354.html
第138章 完全压制: https://www.xbiquge.bz/book/53234/36792355.html
第139章 双剑之战: https://www.xbiquge.bz/book/53234/36792356.html
第140章 更狂: https://www.xbiquge.bz/book/53234/36792357.html
第141章 一起上吧: https://www.xbiquge.bz/book/53234/36792358.html
第142章 在我面前，你是垃圾: https://www.xbiquge.bz/book/53234/36792359.html
第143章 交友不慎啊: https://www.xbiquge.bz/book/53234/36792360.html
第144章 调戏穆兰: https://www.xbiquge.bz/book/53234/36792361.html
第145章 又一年考核日: https://www.xbiquge.bz/book/53234/36792362.html
第146章 大武师，突破: https://www.xbiquge.bz/book/53234/36792363.html
第147章 东夷族: https://www.xbiquge.bz/book/53234/36792364.html
第148章 翻手镇压: https://www.xbiquge.bz/book/53234/36792365.html
第149章 大战: https://www.xbiquge.bz/book/53234/36792366.html
第150章 东夷族天才: https://www.xbiquge.bz/book/53234/36792367.html
第151章 顶尖天才: https://www.xbiquge.bz/book/53234/36792368.html
