番外：陆鸣斩轮回身: https://www.xbiquge.bz/book/23758/40728029.html
番外篇，下: https://www.xbiquge.bz/book/23758/40153821.html
番外篇，中: https://www.xbiquge.bz/book/23758/40153820.html
番外篇，上: https://www.xbiquge.bz/book/23758/40149433.html
番外.叶青篇（免费）: https://www.xbiquge.bz/book/23758/40141153.html
完结感言: https://www.xbiquge.bz/book/23758/39981316.html
第79章 拆了星月楼: https://www.xbiquge.bz/book/23758/15030704.html
第80章 何惧一战: https://www.xbiquge.bz/book/23758/15030705.html
第81章 八连胜的强大: https://www.xbiquge.bz/book/23758/15030706.html
第82章 执着一战: https://www.xbiquge.bz/book/23758/15030707.html
第83章 没资格: https://www.xbiquge.bz/book/23758/15030708.html
第84章 疗伤: https://www.xbiquge.bz/book/23758/15030709.html
第85章 以瀑布练枪: https://www.xbiquge.bz/book/23758/15030710.html
第86章 岭南火域: https://www.xbiquge.bz/book/23758/15030711.html
第87章 十方剑派弟子: https://www.xbiquge.bz/book/23758/15030712.html
第88章 枪法显威: https://www.xbiquge.bz/book/23758/15030713.html
第89章 死火山: https://www.xbiquge.bz/book/23758/15030714.html
第90章 弱者如蝼蚁: https://www.xbiquge.bz/book/23758/15030715.html
第91章 摧枯拉朽: https://www.xbiquge.bz/book/23758/15030716.html
第92章 击杀郑乾: https://www.xbiquge.bz/book/23758/15030717.html
第93章 清点收获: https://www.xbiquge.bz/book/23758/15030718.html
第94章 肉身九品: https://www.xbiquge.bz/book/23758/15030719.html
第95章 凝炼肉身: https://www.xbiquge.bz/book/23758/15030720.html
第96章 天地之势: https://www.xbiquge.bz/book/23758/15030721.html
第97章 一年前的新人王: https://www.xbiquge.bz/book/23758/15030722.html
第98章 新的青铜榜天才: https://www.xbiquge.bz/book/23758/15030723.html
第99章 我的对决，才刚刚开始: https://www.xbiquge.bz/book/23758/15030724.html
第100章 一剑搞定: https://www.xbiquge.bz/book/23758/15030725.html
第101章 一路横扫: https://www.xbiquge.bz/book/23758/15030726.html
第102章 空手战何铁: https://www.xbiquge.bz/book/23758/15030727.html
第103章 十连胜: https://www.xbiquge.bz/book/23758/15030728.html
第104章 给我滚下来: https://www.xbiquge.bz/book/23758/15030729.html
第105章 大战姚天宇: https://www.xbiquge.bz/book/23758/15030731.html
第106章 玄级武技，我也会: https://www.xbiquge.bz/book/23758/15030732.html
第107章 你，没有这个资格: https://www.xbiquge.bz/book/23758/15030733.html
第108章 四院大比: https://www.xbiquge.bz/book/23758/15030734.html
第109章 朱雀院院长: https://www.xbiquge.bz/book/23758/15030735.html
第110章 大比开始: https://www.xbiquge.bz/book/23758/15030736.html
第111章 嚣张的端木家族: https://www.xbiquge.bz/book/23758/15030737.html
第112章 初战: https://www.xbiquge.bz/book/23758/15030738.html
第113章 我认输: https://www.xbiquge.bz/book/23758/15030739.html
第114章 虐菜: https://www.xbiquge.bz/book/23758/15030740.html
第115章 叫板青铜第二: https://www.xbiquge.bz/book/23758/15030741.html
第116章 新人王，新人王: https://www.xbiquge.bz/book/23758/15030742.html
第117章 烈焰牢笼: https://www.xbiquge.bz/book/23758/15030743.html
第118章 奖励？: https://www.xbiquge.bz/book/23758/15030744.html
第119章 秘术，兽狂诀: https://www.xbiquge.bz/book/23758/15030745.html
第120章 进入前十: https://www.xbiquge.bz/book/23758/15030746.html
第121章 连场大战: https://www.xbiquge.bz/book/23758/15030747.html
第122章 遥遥领先的两位天才: https://www.xbiquge.bz/book/23758/15030748.html
第123章 止不住的连胜: https://www.xbiquge.bz/book/23758/15030749.html
第124章 巅峰对决: https://www.xbiquge.bz/book/23758/15030750.html
第125章 金之势: https://www.xbiquge.bz/book/23758/15030751.html
第126章 突破，突破: https://www.xbiquge.bz/book/23758/15030752.html
第127章 你不配做我的对手: https://www.xbiquge.bz/book/23758/15030753.html
第128章 这才是巅峰对决: https://www.xbiquge.bz/book/23758/15030754.html
第129章 四院第一: https://www.xbiquge.bz/book/23758/15030755.html
第130章 丰厚的奖励: https://www.xbiquge.bz/book/23758/15030756.html
第131章 修炼凌空步: https://www.xbiquge.bz/book/23758/15030758.html
第132章 三级妖兽，妖丹: https://www.xbiquge.bz/book/23758/15030759.html
第133章 再见秋月: https://www.xbiquge.bz/book/23758/15030760.html
