番外：陆鸣斩轮回身: https://www.xbiquge.bz/book/53235/40728111.html
番外篇，下: https://www.xbiquge.bz/book/53235/40153823.html
番外篇，中: https://www.xbiquge.bz/book/53235/40153822.html
番外篇，上: https://www.xbiquge.bz/book/53235/40149434.html
番外.叶青篇（免费）: https://www.xbiquge.bz/book/53235/40141154.html
完结感言: https://www.xbiquge.bz/book/53235/39981333.html
第57章 大战宁峰: https://www.xbiquge.bz/book/53235/36797315.html
第58章 暴灵丹: https://www.xbiquge.bz/book/53235/36797316.html
第59章 击杀宁峰: https://www.xbiquge.bz/book/53235/36797317.html
第60章 银袍长老现: https://www.xbiquge.bz/book/53235/36797318.html
第61章 接任务: https://www.xbiquge.bz/book/53235/36797319.html
第62章 牛鬼蛇神: https://www.xbiquge.bz/book/53235/36797320.html
第63章 软柿子？: https://www.xbiquge.bz/book/53235/36797321.html
第64章 激战盗匪: https://www.xbiquge.bz/book/53235/36797322.html
第65章 全都被骗了: https://www.xbiquge.bz/book/53235/36797323.html
第66章 朱家老祖的局: https://www.xbiquge.bz/book/53235/36797324.html
第67章 击杀朱兵: https://www.xbiquge.bz/book/53235/36797325.html
第68章 陆云天的消息: https://www.xbiquge.bz/book/53235/36797326.html
第69章 罡火枪诀: https://www.xbiquge.bz/book/53235/36797327.html
第70章 奇异的血色液体: https://www.xbiquge.bz/book/53235/36797328.html
第71章 暗血石: https://www.xbiquge.bz/book/53235/36797329.html
第72章 青铜榜天才: https://www.xbiquge.bz/book/53235/36797330.html
第73章 回家，盗匪来袭: https://www.xbiquge.bz/book/53235/36797331.html
第74章 一剑: https://www.xbiquge.bz/book/53235/36797332.html
第75章 姚天宇传唤: https://www.xbiquge.bz/book/53235/36797333.html
第76章 大丈夫有所为，有所不为: https://www.xbiquge.bz/book/53235/36797334.html
第77章 嚣张跋扈: https://www.xbiquge.bz/book/53235/36797335.html
第78章 大嘴巴抽: https://www.xbiquge.bz/book/53235/36797336.html
第79章 拆了星月楼: https://www.xbiquge.bz/book/53235/36797337.html
第80章 何惧一战: https://www.xbiquge.bz/book/53235/36797338.html
第81章 八连胜的强大: https://www.xbiquge.bz/book/53235/36797339.html
第82章 执着一战: https://www.xbiquge.bz/book/53235/36797340.html
第83章 没资格: https://www.xbiquge.bz/book/53235/36797341.html
第84章 疗伤: https://www.xbiquge.bz/book/53235/36797342.html
第85章 以瀑布练枪: https://www.xbiquge.bz/book/53235/36797343.html
第86章 岭南火域: https://www.xbiquge.bz/book/53235/36797344.html
第87章 十方剑派弟子: https://www.xbiquge.bz/book/53235/36797345.html
第88章 枪法显威: https://www.xbiquge.bz/book/53235/36797346.html
第89章 死火山: https://www.xbiquge.bz/book/53235/36797347.html
第90章 弱者如蝼蚁: https://www.xbiquge.bz/book/53235/36797348.html
第91章 摧枯拉朽: https://www.xbiquge.bz/book/53235/36797349.html
第92章 击杀郑乾: https://www.xbiquge.bz/book/53235/36797350.html
第93章 清点收获: https://www.xbiquge.bz/book/53235/36797351.html
第94章 肉身九品: https://www.xbiquge.bz/book/53235/36797352.html
第95章 凝炼肉身: https://www.xbiquge.bz/book/53235/36797353.html
第96章 天地之势: https://www.xbiquge.bz/book/53235/36797354.html
第97章 一年前的新人王: https://www.xbiquge.bz/book/53235/36797355.html
第98章 新的青铜榜天才: https://www.xbiquge.bz/book/53235/36797356.html
第99章 我的对决，才刚刚开始: https://www.xbiquge.bz/book/53235/36797357.html
第100章 一剑搞定: https://www.xbiquge.bz/book/53235/36797358.html
第101章 一路横扫: https://www.xbiquge.bz/book/53235/36797359.html
第102章 空手战何铁: https://www.xbiquge.bz/book/53235/36797360.html
第103章 十连胜: https://www.xbiquge.bz/book/53235/36797361.html
第104章 给我滚下来: https://www.xbiquge.bz/book/53235/36797362.html
